,gene,importance
2100,Cd247,0.004038943972753146
1480,Bglap2,0.004029776311186741
1915,Ccdc121,0.004028767775141506
4876,Gabre,0.003993733881489677
1694,Cabp2,0.003960656273670643
3788,Edaradd,0.003958988686053957
2521,Cited1,0.0039572574361993115
4695,Fmr1nb,0.003947441326494504
74,AC163018.1,0.003925198389908445
1879,Cbln4,0.003918814533605523
484,Afm,0.0039075658265475995
2023,Ccer2,0.003907500329790686
3386,Dgkk,0.0039017444632125286
1682,CT025584.1,0.003877458725002162
4376,Fam221b,0.0038757074504878054
4908,Galnt15,0.003872246830122919
2945,Crtam,0.0038592690332608605
3064,Cubn,0.003857838248528595
1664,C2cd4a,0.0038559621256801877
2220,Cdk15,0.0038449460903059356
1816,Card14,0.0038436189071015016
2814,Corin,0.003842669061206498
32,AC124490.1,0.0038352500645907205
5540,Hbb-bt,0.003827026697616683
3160,Cytl1,0.0038008161596488794
3256,Dct,0.0037999641981473426
236,Acaa1b,0.0037987355571849667
2561,Cldn3,0.0037649188352687516
878,Aqp1,0.003749622160012747
3243,Dchs2,0.0037487943132173936
5486,H2-Q1,0.0037431857359308367
957,Arhgef16,0.0037330179675091175
2557,Cldn19,0.0037324955390339648
3772,Ecel1,0.0037148465803498966
1561,Bpifb3,0.003699782637009163
4131,Erp27,0.0036977775066184696
4715,Folr1,0.003682029464410034
2200,Cdh26,0.0036792639371542157
18,AC102910.1,0.003673488347853049
1538,Bnc2,0.0036690752774109774
2567,Clec12a,0.003659120325240154
4006,Endou,0.0036266327900479015
1959,Ccdc187,0.0036132961872741595
1669,C3,0.0036128399167012154
4051,Epcam,0.0036101326530753233
5285,Gpr88,0.003607758400474191
4838,Fzd10,0.0036074235990461077
4890,Gadl1,0.003601547083472104
4725,Foxc2,0.0035936837624335125
3200,Dapl1,0.003586516057153835
1347,BC049715,0.0035841360143591314
2310,Cenpu,0.0035730553147777515
4286,Fam131c,0.0035540947398528516
5537,Hba-a1,0.0035502786540487427
3433,Dio3,0.0035457147610243136
2648,Cnga1,0.0035433744344570187
4477,Fblim1,0.0035391139221722834
664,Amdhd1,0.003535293182102828
4369,Fam217a,0.0035341772011853088
2133,Cd70,0.0035322891189099757
1340,BC035947,0.0035309829843901573
3091,Cxcl10,0.0035306641383644416
5451,Gucy1b2,0.003519682729165119
250,Acan,0.003502972981566106
1503,Birc7,0.003490509522998183
4021,Enpep,0.0034871513055980425
4880,Gabrq,0.0034847279552030932
4085,Eps8l2,0.003483220993295815
1804,Car13,0.003456255995381752
2103,Cd27,0.0034534406186144027
793,Anxa8,0.0034512463129942675
789,Anxa4,0.0034427914003986324
2760,Col8a1,0.0034389553884530124
4609,Fgf7,0.0034380378459406796
5538,Hba-a2,0.0034377057783230684
385,Adamtsl3,0.003436111797546253
4819,Fut4,0.0034262920762556963
2732,Col19a1,0.00342083734102043
2723,Col11a1,0.003404969896204797
4310,Fam166a,0.0033899988003103457
4603,Fgf18,0.003389120352133202
1937,Ccdc153,0.003387888415494031
5058,Gipc3,0.003378770739049631
3095,Cxcl5,0.003371556051493328
704,Angptl1,0.003368751452226951
2187,Cdh1,0.0033674474465067625
2853,Cpa6,0.00336731124838501
1296,B3gnt5,0.003366211850945988
3476,Dlx4os,0.003364993091657646
1813,Car8,0.0033596778435212226
2582,Clic3,0.0033596522456719345
1,A2m,0.0033494093910130117
308,Acsm5,0.003337392696902273
3662,Dsc2,0.0033351382655337344
2901,Crb1,0.0033344226975591507
146,Aanat,0.003328721789886274
1720,Cacng5,0.003307341622796428
2214,Cdk1,0.003303366976344131
2259,Cdr1,0.003294477904652621
4973,Gch1,0.0032906670790075815
2439,Chil5,0.003279151699279274
563,Akap14,0.0032711674887950107
4621,Fgl2,0.0032682875425469674
4024,Enpp3,0.003262118028414988
892,Areg,0.0032598099420772233
493,Agbl2,0.0032583548131283474
600,Aldh1a7,0.003255870994816462
1373,Baiap2l1,0.0032549951828085835
2747,Col4a4,0.00324994542868115
2910,Creb3l3,0.003236109619083403
519,Agtr1a,0.0032239146726884254
5158,Gnmt,0.0032236090579882354
858,Apobec4,0.0032136544744166937
2030,Ccl19,0.003212934208824397
10,AC034116.3,0.003206075631469108
4561,Fcna,0.0032031199614635086
2875,Cpne9,0.0032003599868686587
14,AC091463.1,0.0031978431229582973
422,Adgrd1,0.0031870645662341744
2013,Ccdc89,0.003179396170308416
5603,Helt,0.003179324042233064
580,Akr1c13,0.0031784272018624323
3113,Cybb,0.0031718215667818623
784,Anxa1,0.003168819391974031
966,Arhgef33,0.003153401356596899
3708,Dusp27,0.003151091052819275
360,Adam33,0.003150820426208203
5539,Hbb-bs,0.003145010212705473
1971,Ccdc33,0.0031280563491601124
1948,Ccdc170,0.0031263108805603184
657,Alx4,0.003115168475730864
297,Acrbp,0.0031117872231148456
1721,Cacng6,0.0031030146065440566
3635,Dpy19l2,0.003098492946448244
4301,Fam160a1,0.0030954446675505827
387,Adamtsl5,0.0030934300146417955
1165,Atp10b,0.003086925558929769
1316,BC001981,0.003082073785950516
4425,Fam83f,0.0030804735161483344
4679,Flt4,0.0030786432461546763
800,Aox4,0.003077606291225321
2469,Chrm2,0.0030695649604331873
1366,Bag3,0.0030583559895327257
1237,Atp8b5,0.0030557265944459932
2925,Crhr2,0.0030527393669678837
5253,Gpr165,0.00305165587746459
459,Adra2b,0.0030504641076218785
5547,Hcar1,0.003044055493505171
4794,Fst,0.0030328207072695605
1998,Ccdc78,0.0030319929735980046
1425,Bche,0.0030294047466241985
938,Arhgap36,0.003024744932233682
1041,Arr3,0.003024171165630865
5336,Grifin,0.0030164740442271552
3491,Dmrtb1,0.0030149436902811274
5319,Grb7,0.003014543090722227
2533,Ckmt2,0.003005616259139051
77,AC163354.1,0.0030010712341078517
38,AC129186.1,0.0030006658647111014
2135,Cd74,0.0029983451424013385
2089,Cd109,0.0029927735053973913
295,Acp7,0.00299267103384199
4075,Epn3,0.0029926411907622626
3654,Drd1,0.002988831917107212
1375,Baiap3,0.0029885609790771253
2114,Cd36,0.0029856745604272873
2731,Col18a1,0.0029816454828827683
373,Adamts18,0.0029772664167477393
1560,Bpifb1,0.002974338440910421
1192,Atp4b,0.0029730645359133984
2199,Cdh24,0.002968812455682578
605,Aldh3a1,0.0029677083231021634
1052,Arsj,0.0029649958003136645
2659,Cnn1,0.002961180080079328
2208,Cdhr2,0.0029547979730912494
3656,Drd4,0.0029472555363325133
3511,Dnah3,0.002944978185787483
4141,Espn,0.0029428419285858556
1814,Car9,0.002936721851751363
5503,Haao,0.0029364289332562982
582,Akr1c18,0.002935746251036977
260,Acbd7,0.002933025512278596
90,AI197445,0.002931288146256033
702,Angpt1,0.002929080987943272
1606,Bspry,0.002925739345883594
5473,H2-Aa,0.002925397165816283
3343,Dennd1c,0.002919559076436349
599,Aldh1a3,0.002916481832798107
2559,Cldn22,0.0029155028443571826
3506,Dnah12,0.002905644729051236
4345,Fam198b,0.0028994406936052363
163,Abca4,0.0028976894259861445
293,Acp5,0.002895606944601609
1992,Ccdc69,0.0028917056847414073
2571,Clec1a,0.0028839874164765552
5082,Glb1l2,0.002883248929839338
1439,Bcl2l15,0.0028805559813527785
80,AC164881.1,0.002878404415472832
3183,Dach2,0.0028705678431994275
1863,Cav3,0.0028651613434895378
2296,Cenpe,0.0028593528763782546
3486,Dmkn,0.0028560908008358863
2210,Cdhr4,0.0028531115626826446
5443,Gtsf1,0.002852348825041073
4750,Foxr2,0.0028503015906208443
781,Anpep,0.0028457889749027993
2096,Cd1d1,0.0028434764352582454
4242,Fabp7,0.002838096782505262
307,Acsm3,0.0028335882869771466
4296,Fam151a,0.0028235964382172123
2650,Cngb1,0.002819220040246627
5478,H2-DMb2,0.002817582718572461
393,Adarb2,0.002813768927540514
4229,F2rl2,0.002812054002036487
1819,Card9,0.002809733568597149
5360,Grm2,0.0028093858923941666
1398,Bbox1,0.0028014574645995297
2911,Creb3l4,0.0027999247093569695
363,Adam8,0.0027997893769044642
2181,Cdca3,0.00279973529686303
3657,Drd5,0.002799065854179052
5010,Gfap,0.0027916603777808926
4343,Fam196b,0.002789634531019702
135,AW551984,0.002785923438077126
5087,Gldn,0.0027832793634065887
4766,Frk,0.002783158156448139
379,Adamts5,0.0027830829701023475
2037,Ccl5,0.0027745748726310544
517,Agt,0.0027737713192869233
1223,Atp6v1c2,0.0027698789010746376
2585,Clic6,0.0027626063777391042
3368,Deup1,0.0027580247487767663
4140,Espl1,0.0027561953187052136
1290,B3gat2,0.00275358606321901
3204,Daw1,0.002752219166170284
1955,Ccdc180,0.002747089380023118
712,Ankdd1a,0.0027447162152214534
3076,Cutal,0.0027428221528177027
1783,Capn11,0.0027416930569676896
2781,Comp,0.0027414316175029003
2393,Cftr,0.0027398394583794125
648,Alox8,0.0027222948992009902
968,Arhgef39,0.0027216944143498628
4107,Erfe,0.0027183701133674967
4942,Gast,0.0027092261062895027
1128,Atf3,0.002707084294510589
4434,Fam92b,0.0027067837299076863
1297,B3gnt6,0.0027046927506651675
4144,Esrp1,0.0027034406566275792
3850,Egfl6,0.00270249334878616
1704,Cacna1f,0.0027005055405410197
27,AC120150.1,0.0026991975301076847
4747,Foxp3,0.0026925639639013184
1904,Ccdc105,0.0026845163700715546
4240,Fabp4,0.0026843631989898237
3563,Dnali1,0.002684048930942433
4312,Fam167a,0.002682907445768391
3984,Emid1,0.0026823560957399493
2761,Col8a2,0.002682305018709676
2866,Cpn1,0.0026793845026457114
2895,Crabp2,0.002678218054137903
598,Aldh1a2,0.002670372301840522
4632,Fibin,0.002669514061755561
4470,Fat2,0.002668274571126639
3401,Dhrs13os,0.002666776998304041
931,Arhgap28,0.0026667021681318582
4147,Esrrg,0.0026526859261742446
3784,Ect2,0.0026524330845521067
1974,Ccdc38,0.002650290322485056
1093,Asic3,0.002649348330625425
1266,Aurkb,0.002646509364224001
76,AC163040.1,0.0026425688701256634
4583,Fes,0.00263462941723008
4565,Fcrl5,0.00263259841438194
2687,Cntf,0.0026323836731324997
1355,BC067074,0.0026316404138981607
362,Adam5,0.0026288377324436433
62,AC157554.3,0.0026263206221059272
1299,B3gnt8,0.002626255070968447
4818,Fut2,0.0026223244310705817
1878,Cbln3,0.002617492707095229
3336,Defb25,0.0026156927265111596
4786,Frzb,0.0026146171083286855
4624,Fhdc1,0.002610426447968411
4620,Fgl1,0.0026088160402548063
760,Ankrd66,0.0026037879273781593
2265,Cdsn,0.0025974141238556247
4597,Fgf11,0.0025971052939984755
4871,Gabra6,0.0025915178870923286
2127,Cd59a,0.00258432878134831
4317,Fam169b,0.0025829251227625226
1634,Bves,0.0025796330934509835
355,Adam21,0.002578982545573193
410,Adcyap1,0.0025754224971137898
1094,Asic4,0.0025724336865252067
435,Adh1,0.0025705159629293454
1901,Ccbe1,0.0025701480979573696
1416,Bcas1os1,0.00256439592028931
1382,Bard1,0.0025635345097559
2753,Col6a1,0.0025611051873454475
776,Ano7,0.0025598866796663414
2495,Chst9,0.0025598725992346015
2698,Cntnap3,0.0025559742750931973
367,Adamts12,0.002555611937690965
358,Adam3,0.0025552308856809786
4990,Gdf10,0.002554296886606834
4163,Etnppl,0.0025531613201354984
3087,Cwh43,0.0025529237460421694
1274,Axdnd1,0.002551546203677017
5115,Glt28d2,0.0025464241337781173
4777,Frmpd2,0.0025460798271455657
4327,Fam180a,0.0025442791133224035
4611,Fgfbp1,0.0025412813294851014
3650,Draxin,0.002531025733189349
88,AF529169,0.002527491930354922
774,Ano5,0.0025256846224867287
4142,Esr1,0.002524378668657335
4943,Gata2,0.0025241958237570026
2002,Ccdc81,0.002522723237802677
3781,Ecm2,0.002520780890509087
41,AC130815.3,0.002520181607150734
2679,Cnpy1,0.0025168365665369716
5193,Gp5,0.0025158574269067194
593,Alas2,0.0025127569658429756
4055,Epha2,0.0025123573127191377
5106,Glra3,0.0025037335389551264
3421,Dhx58os,0.0025025802052076095
4980,Gcnt1,0.0025003556548421372
1657,C1ra,0.002498381802798325
2931,Crispld1,0.002497105366468951
5140,Gnb4,0.0024969082483099845
2044,Ccna2,0.0024953849536163237
4484,Fbn2,0.0024904469404157027
20,AC110241.2,0.0024892512885860713
5090,Gli1,0.0024775504198133323
4079,Eppk1,0.0024771704363218084
263,Ace,0.00247548735769559
4540,Fbxw10,0.0024744754112342353
1789,Capn6,0.00247246539099447
5444,Gtsf2,0.002471870427117261
3489,Dmrt2,0.002469894063653874
946,Arhgap6,0.002469834845280627
31,AC123870.1,0.002464400366840166
806,Ap1m2,0.002454063482193099
3151,Cyr61,0.00245380175065856
1843,Casp4,0.002452110102965291
1391,Baz1a,0.0024514015986462257
4023,Enpp2,0.002448089228392141
5352,Grip2,0.0024468988437761283
5557,Hcn4,0.002444275952276911
3505,Dnah11,0.0024403450919141976
2146,Cda,0.002440279632992916
4961,Gbp4,0.0024396864536586575
2102,Cd24a,0.0024393220756619045
4833,Fyb2,0.0024392288585291014
1840,Casp12,0.002438219229057287
1747,Calml4,0.0024366547060560894
148,Aard,0.0024334695701210005
2429,Chek2,0.0024322712223543404
3123,Cyp1b1,0.002429676474781108
4596,Fgf10,0.0024277431606832887
2104,Cd274,0.002427608210444079
3601,Dok2,0.002426055522073917
2368,Cfap221,0.0024205410274260432
799,Aox3,0.002419164465263351
130,AW121686,0.0024167896611723165
64,AC159282.1,0.0024165529435921113
709,Ank1,0.0024155545532379193
2750,Col5a1,0.0024153627762507884
5321,Greb1,0.002414826904876829
3420,Dhx58,0.0024144567612252267
3326,Ddx60,0.0024143712641014575
1088,Asgr1,0.0024101523570108536
4992,Gdf5,0.0024090536569030497
2749,Col4a6,0.0024030472339988474
2365,Cfap161,0.002402711207366869
5240,Gpr141,0.002401207453069775
1815,Card10,0.002397928785852479
68,AC161165.3,0.002394437620243389
2935,Crlf1,0.0023935844040464185
5559,Hcrtr1,0.002390897484864451
1877,Cbln2,0.0023895655358257967
4702,Fndc1,0.0023889038805547753
2737,Col23a1,0.0023859859890119823
270,Ackr2,0.0023852219636401055
2625,Cmbl,0.0023849459208392914
672,Amigo2,0.002382797208024841
4056,Epha3,0.002382362779679047
452,Adprhl1,0.0023811743565807742
3466,Dlgap5,0.0023805051002843717
1063,Asah2,0.0023796322076654166
4639,Filip1,0.002377497699154224
3499,Dnaaf1,0.00237646378883747
4631,Fibcd1,0.00237390099251377
531,Ahrr,0.0023712714414229038
2658,Cnmd,0.0023705626010571096
5001,Gem,0.0023703605920487075
3483,Dmc1,0.002369788637149377
1874,Cblc,0.0023666807860925213
5303,Gpx3,0.0023633049898821833
5251,Gpr161,0.002361276891099472
57,AC154509.1,0.002360515562063811
122,AU022754,0.002356960897453946
5283,Gpr84,0.0023561958296170306
5367,Grp,0.0023503026203800167
1526,Bmp5,0.00234821895045503
4637,Fignl1,0.0023471076512896726
4913,Galnt3,0.00234615400306206
4938,Gas2l3,0.0023450166841045084
2574,Clec3b,0.0023447982015485
3579,Dnmt3b,0.002343849612208563
2073,Ccr10,0.002343612722514164
2498,Chtf18,0.0023431903526356305
2043,Ccna1,0.0023425822797030057
4472,Fat4,0.002341934138771107
5293,Gprin3,0.002341100398579803
3504,Dnah10,0.0023397993081014827
865,Apol7b,0.002338846593048894
2820,Coro6,0.0023384998694533613
2575,Clec4a1,0.0023344069262835566
910,Arg2,0.002333469448164296
2903,Crb3,0.002332215337163407
5488,H2-Q4,0.0023311354304758375
1936,Ccdc152,0.0023307656828389584
3653,Drc7,0.002330745669646298
5105,Glra2,0.002330163287774531
4976,Gckr,0.002327312184164211
2742,Col2a1,0.0023271494550667965
5,AA467197,0.0023262307261646678
26,AC118542.1,0.0023252084657775446
5190,Got1l1,0.002323109190674071
3337,Defb42,0.002320848988153345
313,Acta2,0.002316657474173595
2733,Col1a1,0.0023150470601615222
2184,Cdca7l,0.0023145473118575703
1433,Bcl2a1a,0.002310311361620929
3490,Dmrta2,0.002309368732445731
125,AU040972,0.002309303583290871
2944,Crtac1,0.002307376732793863
1348,BC049762,0.0023059624461288994
3475,Dlx2,0.0023004207829240564
796,Aoc3,0.002299820466458072
5483,H2-M5,0.0022996692506115296
3136,Cyp2s1,0.002299431718517704
4219,Eya2,0.002297967934870797
48,AC139671.1,0.0022965010192701907
1655,C1qtnf7,0.0022934769439231185
741,Ankrd34b,0.002290179122983665
2739,Col25a1,0.0022861535980190388
1796,Capsl,0.002280655235583291
1346,BC049352,0.0022794018079277402
300,Acsf2,0.0022765733115315406
272,Ackr4,0.0022686993102621848
3198,Dapk2,0.0022678876733544387
1349,BC051019,0.0022614118053951855
3528,Dnajb13,0.0022590466745437314
5453,Gucy2d,0.0022557960736994008
5485,H2-Ob,0.0022556935638442847
1336,BC030867,0.002255173586514012
2531,Ckm,0.0022521972725020804
2700,Cntnap5a,0.002250485788362965
3828,Efcc1,0.002247432676570794
2962,Crygs,0.0022447411910043753
3485,Dmgdh,0.0022428232349463732
3080,Cuzd1,0.002242077089853832
5072,Gjd2,0.0022410787717722265
1525,Bmp4,0.002240689831921364
4227,F13a1,0.0022402916021078256
2686,Cntd1,0.0022393226353943914
2887,Cpt1b,0.0022390257560992097
2098,Cd200r1,0.002238408818811112
2565,Clec10a,0.0022377077822105748
988,Arl11,0.0022359923178909454
2701,Cntnap5b,0.0022345186560555124
4638,Fignl2,0.0022336452170659935
4401,Fam47e,0.0022320543202850826
5102,Glod5,0.0022320320728588254
1750,Calr3,0.0022314277240916207
4212,Exph5,0.0022281186670562716
2981,Csl,0.002225801467035091
316,Actg2,0.0022256871101272195
5292,Gprin2,0.0022231535490338074
1190,Atp2c2,0.002222893735027671
4554,Fcgr4,0.002221362927839282
1989,Ccdc63,0.0022208724895586163
3586,Doc2b,0.00221925477173223
2280,Cela1,0.002218623478057927
1169,Atp12a,0.0022184641451169877
1852,Casz1,0.0022156036982705117
2271,Ceacam2,0.0022147156756271253
375,Adamts2,0.0022132227478112486
652,Alpk3,0.0022120758609366336
369,Adamts14,0.0022085583716388007
104,AI847159,0.0022059934129800628
3026,Cthrc1,0.00220318693396373
2092,Cd163,0.0022017473068989602
4693,Fmod,0.0022007758029815912
40,AC130815.2,0.0022006552247264546
608,Aldh3b2,0.002200374484297048
1101,Aspg,0.002199429466046478
4886,Gadd45a,0.002199415396063483
4691,Fmo2,0.0021961296147676636
642,Allc,0.0021952684395630763
2976,Csf2rb,0.0021948599053152823
3507,Dnah14,0.0021943942564086705
4444,Fancd2,0.0021942914929308473
5049,Gimap9,0.002192647767231597
2186,Cdcp1,0.00219212783221304
2129,Cd6,0.0021920888922771107
3300,Ddx23,0.0021911204875293883
2140,Cd83,0.002190290282868264
5492,H2-T24,0.002187919850552578
3478,Dlx6,0.0021874204075269426
597,Aldh1a1,0.0021871617196472424
864,Apoh,0.002186507278378395
2525,Ckap2,0.0021857302142960283
1068,Asb10,0.002185627784454029
1976,Ccdc40,0.002185621390503598
311,Acss3,0.002184891576503506
3356,Depdc1b,0.0021841874124573163
2762,Col9a1,0.002183671168542357
1353,BC053393,0.0021835472685882897
4590,Fgd2,0.0021833529967846318
2756,Col6a4,0.002183302328093908
351,Adam18,0.0021785467799578565
1708,Cacna1s,0.002178448430089255
2434,Chia1,0.0021749977263840355
5446,Guca1b,0.0021749883054227375
1665,C2cd4b,0.00217436241513779
3359,Deptor,0.0021734066072547084
2213,Cdiptos,0.0021713866372033855
4148,Esyt1,0.0021682530941893622
5048,Gimap8,0.002168094828542953
4,AA387200,0.002167638090146538
3938,Elf5,0.0021661695379665046
3154,Cysrt1,0.002164604773474154
2116,Cd38,0.0021629289751936183
769,Ano1,0.002161411986483631
3473,Dlx1,0.002161195383167522
1940,Ccdc158,0.0021605623544616545
3776,Echdc3,0.002158437559598321
1184,Atp2a3,0.0021562419234197805
554,Ak7,0.0021556624373541707
5211,Gpc3,0.002153810822811762
5335,Grid2ip,0.0021527501817769964
4640,Filip1l,0.0021490493563957724
3668,Dsg2,0.002148775838035459
3985,Emilin1,0.002148690122906185
36,AC125351.1,0.002148378525320809
1803,Car12,0.0021482257377660814
3477,Dlx5,0.002146487760126752
457,Adra1d,0.002146130281634344
4884,Gad1os,0.002143976286409663
2456,Chn1os1,0.002142298441901131
4588,Fezf2,0.002138153013418236
2544,Clcn1,0.0021373805551378163
4964,Gbp9,0.002135430091262657
5489,H2-Q7,0.002133849159102856
5591,Hebp2,0.002132158398116789
947,Arhgap9,0.0021308275035208987
113,AL591946.1,0.0021302131345814334
557,Akain1,0.002128416035521761
1468,Bend7,0.00212692004835506
5500,H3f3aos,0.002125735378184784
3487,Dmp1,0.0021255208935145303
2193,Cdh18,0.0021228920352194544
340,Acy3,0.002118129666942078
4428,Fam84b,0.002117239381803154
1931,Ccdc146,0.002114987839920336
5018,Gfra1,0.0021117339926003415
1051,Arsi,0.0021102024606482975
1469,Best1,0.0021096596551852015
2932,Crispld2,0.0021078197662713887
3108,Cyb5r2,0.0021009251808852755
4708,Fndc9,0.002096847308057545
85,AC166902.1,0.002094619283024966
2299,Cenpi,0.002092834532636519
2754,Col6a2,0.0020926324088594507
5073,Gjd3,0.0020904180346914963
882,Aqp6,0.0020877347611905897
