injection_position,path,path_length,strength,start,end
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa6b→cing→VISam6b→VISam6a→VISam5→VISam4,12,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.004792, 0.011859, 0.009084, 0.014469, 0.01807, 0.019975]",ACAd2/3,VISam4
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISam6a→VISam5→VISam4→VISam2/3,10,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.014469, 0.01807, 0.019975, 0.014165]",ACAd2/3,VISam2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→RSPagl6a→RSPd6a→RSPv6a→RSPv5→RSPv2/3→RSPv1,9,"[0.182779, 0.128518, 0.042455, 0.02001, 0.015872, 0.013615, 0.010097, 0.014789, 0.009672, 0.010952]",ACAd2/3,RSPv1
ACAd2/3,ACAd2/3→ACAd5→ACAv5→ACAv2/3→ccb→RSPv2/3,5,"[0.182779, 0.128518, 0.040751, 0.050201, 0.025066, 0.009672]",ACAd2/3,RSPv2/3
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→RSPagl6a→RSPd6a→RSPd5→RSPd2/3,8,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.015872, 0.013615, 0.017302, 0.014185]",ACAd2/3,RSPd2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBvl6a→ORBvl5,6,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.00202, 0.008875]",ACAd2/3,ORBvl5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBm5→ORBvl5→ORBvl2/3,7,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.017832, 0.008875, 0.009429]",ACAd2/3,ORBvl2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBm5→ORBvl5→ORBvl2/3→ORBvl1→ORBm1,9,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.017832, 0.008875, 0.009429, 0.024118, 0.014659]",ACAd2/3,ORBm1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISam6a→VISam5→VISam4→VISam2/3→VISam1→VISpm1,12,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.004461, 0.004845, 0.014469, 0.01807, 0.019975, 0.014165, 0.017836, 0.012013]",ACAd2/3,VISpm1
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAv6a→ACAv6b→cing→ccb→ACAv5→ACAv2/3→ACAv1→IG,10,"[0.182779, 0.128518, 0.042455, 0.02013, 0.011178, 0.011859, 0.025066, 0.040751, 0.050201, 0.053965, 0.009082]",ACAd2/3,IG
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ccg→GU6b→GU6a→VISC6a→VISC5→TEa5→ECT5,11,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.009517, 0.007981, 0.009733, 0.003557, 0.002632, 0.004258, 0.003041]",ACAd2/3,ECT5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBm5→ORBm2/3,6,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.017832, 0.010566]",ACAd2/3,ORBm2/3
ACAd2/3,ACAd2/3→ACAd5→PL5→PL6a→ILA6a→DP→AON,6,"[0.182779, 0.128518, 0.016267, 0.011232, 0.006304, 0.008538, 0.00199]",ACAd2/3,AON
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAv6a→ACAv6b→cing→ccg→CP→LSr,8,"[0.182779, 0.128518, 0.042455, 0.02013, 0.011178, 0.011859, 0.009517, 0.023498, 0.004366]",ACAd2/3,LSr
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ILA6a→ILA5,5,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006304, 0.00552]",ACAd2/3,ILA5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ccb→SSs6b→VISC6b→VISC6a→AIp6a→EPd→ee→ENTl6a→ENTl5→ENTl3→ENTm3,15,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.025066, 0.010716, 0.002215, 0.003557, 0.00568, 0.002136, 0.002368, 0.004007, 0.005431, 0.011984, 0.010586]",ACAd2/3,ENTm3
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→RSPagl6a→SSp-tr6a,6,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.015872, 0.004461]",ACAd2/3,SSp-tr6a
ACAd2/3,ACAd2/3→ACAd5→ACAv5→ACAv6a→PL6a→ILA6a→ORBm6a→ORBm5→ORBvl5→ORBvl2/3→ORBvl1→von,11,"[0.182779, 0.128518, 0.040751, 0.02013, 0.011232, 0.006304, 0.006562, 0.017832, 0.008875, 0.009429, 0.024118, 0.003931]",ACAd2/3,von
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-ll6a→SSp-tr6a→VISa6a→VISa5,8,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.00491, 0.004461, 0.004845, 0.005421]",ACAd2/3,VISa5
ACAd2/3,ACAd2/3→ACAd5→PL5→FRP5→ORBl5→ORBl2/3→ORBl1,6,"[0.182779, 0.128518, 0.016267, 0.004814, 0.002231, 0.003978, 0.002699]",ACAd2/3,ORBl1
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-ll6a→SSp-tr6a→VISa6a→VISa5→VISa4→VISa2/3,10,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.00491, 0.004461, 0.004845, 0.005421, 0.009794, 0.007587]",ACAd2/3,VISa2/3
