start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
549,363,549→1009→351→477→98→956→940→1081→1054→827→363,10,20,TH→fiber tracts→BST→STR→SEZ→fa→cing→ILA6b→ILA6a→ILA5→PL5,TH
549,698,549→1009→477→698,3,12,TH→fiber tracts→STR→OLF,TH
549,333,549→1009→351→477→333,4,9,TH→fiber tracts→BST→STR→SH,TH
549,1108,549→1009→351→477→1108,4,10,TH→fiber tracts→BST→STR→ccg,TH
1096,1096,1096,0,2,AMd,AMd
1096,1104,1096→1104,1,3,AMd→AMv,AMd
1096,629,1096→1113→362→575→255→629,5,7,AMd→IAD→MD→CL→AV→VAL,AMd
1096,1113,1096→1113,1,3,AMd→IAD,AMd
1096,255,1096→255,1,10,AMd→AV,AMd
1096,549,1096→549,1,1,AMd→TH,AMd
1096,64,1096→255→64,2,4,AMd→AV→AD,AMd
1096,362,1096→1113→362,2,2,AMd→IAD→MD,AMd
1096,351,1096→1104→255→351,3,3,AMd→AMv→AV→BST,AMd
1096,575,1096→1113→362→575,3,4,AMd→IAD→MD→CL,AMd
1096,218,1096→1113→362→575→155→218,5,8,AMd→IAD→MD→CL→LD→LP,AMd
1096,155,1096→1113→362→575→255→155,5,7,AMd→IAD→MD→CL→AV→LD,AMd
1096,262,1096→549→262,2,7,AMd→TH→RT,AMd
1096,1020,1096→1113→362→575→155→218→560581551→1020,7,10,AMd→IAD→MD→CL→LD→LP→Eth→PO,AMd
1096,603,1096→255→997→603,3,5,AMd→AV→root→fi,AMd
1096,15,1096→549→15,2,5,AMd→TH→PT,AMd
1096,718,1096→1113→362→575→255→629→718,6,11,AMd→IAD→MD→CL→AV→VAL→VPL,AMd
1096,6,1096→1113→362→575→255→549→262→803→6,8,13,AMd→IAD→MD→CL→AV→TH→RT→PAL→int,AMd
1096,1022,1096→1113→362→575→255→549→262→803→1022,8,15,AMd→IAD→MD→CL→AV→TH→RT→PAL→GPe,AMd
1096,803,1096→1113→362→575→255→549→262→803,7,13,AMd→IAD→MD→CL→AV→TH→RT→PAL,AMd
1096,672,1096→1113→362→575→255→629→718→1092→262→6→1022→672,11,16,AMd→IAD→MD→CL→AV→VAL→VPL→em→RT→int→GPe→CP,AMd
1104,1104,1104,0,1,AMv,AMv
1104,262,1104→549→262,2,2,AMv→TH→RT,AMv
1104,1096,1104→1096,1,1,AMv→AMd,AMv
1104,802,1104→1096→549→802,3,3,AMv→AMd→TH→sm,AMv
1104,15,1104→1096→549→15,3,4,AMv→AMd→TH→PT,AMv
1104,629,1104→629,1,1,AMv→VAL,AMv
1104,255,1104→1096→255,2,2,AMv→AMd→AV,AMv
1104,672,1104→549→81→672,3,15,AMv→TH→VL→CP,AMv
1104,1009,1104→1096→549→802→1009,4,4,AMv→AMd→TH→sm→fiber tracts,AMv
1104,549,1104→549,1,1,AMv→TH,AMv
1104,266,1104→1096→549→802→1009→477→266,6,9,AMv→AMd→TH→sm→fiber tracts→STR→LSv,AMv
1104,477,1104→1096→549→802→1009→477,5,5,AMv→AMd→TH→sm→fiber tracts→STR,AMv
1104,351,1104→549→802→1097→351,4,7,AMv→TH→sm→HY→BST,AMv
1104,258,1104→1096→549→436→477→266→258,6,10,AMv→AMd→TH→fx→STR→LSv→LSr,AMv
1104,803,1104→549→802→1097→803,4,7,AMv→TH→sm→HY→PAL,AMv
1104,581,1104→1096→549→802→1009→477→266→581,7,8,AMv→AMd→TH→sm→fiber tracts→STR→LSv→TRS,AMv
1104,436,1104→549→802→351→287→1009→436,6,8,AMv→TH→sm→BST→BAC→fiber tracts→fx,AMv
1104,685,1104→685,1,4,AMv→VM,AMv
436,436,436,0,2,fx,fx
436,1009,436→1009,1,1,fx→fiber tracts,fx
436,802,436→802,1,1,fx→sm,fx
436,549,436→802→549,2,3,fx→sm→TH,fx
436,15,436→802→549→15,3,4,fx→sm→TH→PT,fx
436,351,436→1009→351,2,4,fx→fiber tracts→BST,fx
436,1113,436→802→549→15→1113,4,5,fx→sm→TH→PT→IAD,fx
436,310,436→802→1009→477→581→310,5,6,fx→sm→fiber tracts→STR→TRS→SF,fx
436,129,436→802→129,2,2,fx→sm→V3,fx
436,908,436→1009→351→908,3,3,fx→fiber tracts→BST→act,fx
436,266,436→310→258→266,3,10,fx→SF→LSr→LSv,fx
436,1096,436→802→549→15→1113→1096,5,6,fx→sm→TH→PT→IAD→AMd,fx
436,900,436→1009→351→908→900,4,4,fx→fiber tracts→BST→act→aco,fx
436,477,436→1009→477,2,18,fx→fiber tracts→STR,fx
436,581,436→802→129→581,3,3,fx→sm→V3→TRS,fx
436,428,436→428,1,7,fx→mct,fx
436,149,436→428→149,2,8,fx→mct→PVT,fx
436,258,436→802→1009→477→581→310→258,6,8,fx→sm→fiber tracts→STR→TRS→SF→LSr,fx
436,10703,436→428→149→15→362→802→10703,6,18,fx→mct→PVT→PT→MD→sm→DG-mo,fx
436,287,436→1009→351→908→287,4,6,fx→fiber tracts→BST→act→BAC,fx
436,430,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430,13,32,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing→RSPv6a→RSPv5→RSPv2/3,fx
