start_node,end_node,path,path_length,edges_used
1104,98,1104→255→310→258→672→940→1054→810→814→98,9,23
262,685,262→685,1,1
262,772,262→629→1104→255→310→258→672→940→1054→827→363→772,11,15
262,814,262→629→1104→255→310→258→672→940→1054→827→814,10,18
802,15,802→15,1,1
802,149,802→15→428→149,3,4
802,258,802→436→287→351→266→258,5,7
802,129,802→15→428→149→129,4,5
802,310,802→436→287→351→266→310,5,7
802,98,802→436→287→351→266→258→98,6,8
802,672,802→436→287→351→266→258→98→672,7,9
802,608,802→436→287→351→266→258→98→672→910→608,9,14
802,564,802→436→287→351→266→258→564,6,8
802,597,802→436→287→351→266→258→597,6,8
802,1125,802→436→287→351→266→258→98→672→910→608→1125,10,15
802,630,802→436→287→351→266→258→98→672→910→608→1125→630,11,15
802,910,802→436→287→351→266→258→98→672→680→608→910,10,13
802,1108,802→436→287→351→266→258→1108,6,8
802,159,802→436→287→351→266→258→597→159,7,9
802,428,802→436→428,2,11
802,581,802→436→581,2,11
351,158,351→900→436→581→129→634→158,6,16
351,430,351→900→436→581→129→64→10703→982→382→466→443→484682516→430,12,15
351,542,351→900→436→581→129→64→10703→982→382→466→443→484682516→430→542,13,16
351,434,351→900→436→581→129→64→10703→982→382→466→443→484682516→430→687→610→434,15,22
351,17,351→900→436→581→129→531→10→17,7,15
351,502,351→900→436→581→129→64→10703→982→502,8,36
351,851,351→900→436→581→129→531→10→851,7,17
351,42,351→900→436→581→129→64→10703→982→382→466→443→484682516→430→542→834→842→851→10→17→26→42,20,38
351,478,351→900→436→581→129→64→10703→982→382→466→484682516→430→687→610→774→906→279→940→510→478,19,41
351,26,351→900→436→581→129→64→10703→982→382→466→443→484682516→430→542→834→842→851→10→17→26,19,37
351,9,351→900→436→581→129→64→10703→982→382→466→484682516→484682512→940→510→478→9,15,37
351,510,351→900→436→581→129→64→10703→982→382→466→484682516→430→687→590→940→510,15,46
351,774,351→900→436→581→129→64→10703→982→382→466→443→484682516→430→687→610→434→965→774,17,32
351,706,351→900→436→581→129→64→10703→982→502→634→158→42→26→17→1061→706,15,32
351,810,351→900→436→581→129→64→10703→982→382→466→484682516→940→819→810,13,53
351,772,351→900→436→581→129→64→10703→982→382→466→484682516→940→819→810→772,14,64
351,250,351→900→436→310→258→250,5,21
351,783,351→266→258→98→672→484682512→1085→1021→783,8,8
351,484682512,351→266→258→98→672→484682512,5,6
351,767,351→266→258→98→672→484682512→1085→831→783→1021→767,10,10
351,440,351→266→258→98→672→484682512→488→440,7,9
351,1021,351→266→258→98→672→484682512→488→440→783→1021,9,11
351,526157192,351→266→258→98→672→484682512→1085→831→783→1021→767→526157192,11,11
351,969,351→266→258→98→672→680→608→1125→288→969,9,12
351,962,351→266→258→98→672→484682512→1085→831→783→1021→767→962,11,13
351,575,351→802→262→1104→629→907→575,6,6
351,155,351→802→262→1104→629→907→575→155,7,8
351,6,351→802→262→6,3,6
351,603,351→802→1096→1113→907→362→575→155→603,8,10
351,1113,351→802→262→1104→629→907→575→362→1113,8,12
351,56,351→266→56,2,6
351,463,351→802→1096→1113→907→362→575→155→603→466→463,10,11
351,597,351→266→258→98→597,4,7
351,423,351→802→1096→1113→907→362→575→155→603→466→463→423,11,11
351,609,351→908→436→428→149→129→108→531→628→706→1061→634→158→50→599626923→609,15,30
351,215,351→908→436→428→149→129→108→531→628→706→215,10,25
351,1020,351→908→436→428→149→129→108→531→628→706→215→1029→218→1020,13,28
351,1125,351→266→258→672→680→608→1125,6,37
351,132,351→266→258→672→940→132,5,35
351,449,351→802→129→449,3,9
351,827,351→266→258→672→98→940→1054→827,7,7
351,1054,351→266→258→672→98→940→1054,6,6
351,363,351→266→258→672→98→940→1081→1054→363,8,9
351,629,351→908→287→436→428→15→149→129→802→64→575→155→629,12,17
351,718,351→908→287→436→428→15→149→129→802→64→575→155→629→718,13,16
351,1022,351→908→287→436→428→15→149→129→802→64→575→155→255→262→6→1022,15,17
351,10704,351→908→287→436→428→15→149→129→802→64→575→155→603→466→463→423→382→10703→632→10704,19,20
