start_node,end_node,path,path_length,edges_used
436,564,436→310→258→564,3,8
436,971,436→428→149→15→362→802→10703→382→466→443→971,10,43
436,484682470,436→428→149→15→362→802→10703→382→466→484682470,9,44
436,502,436→428→149→15→362→802→10703→382→466→502,9,45
436,17,436→428→149→15→362→802→10703→997→313→10→17,10,53
436,1089,436→428→149→15→362→802→10703→382→466→484682516→940→590→1089,12,38
436,1061,436→428→149→15→362→802→10703→997→313→1061,9,51
436,10,436→428→149→15→362→802→10703→997→313→1061→10,10,52
351,287,351→287,1,3
351,443,351→900→477→436→581→129→997→443,7,40
351,634,351→900→477→436→581→129→997→313→634,8,26
351,336,351→477→436→581→129→997→313→17→336,8,52
351,10,351→900→477→436→581→129→997→10703→982→1089→382→466→443→484682516→430→542→0→834→842→851→10,20,63
351,628,351→477→436→581→129→997→628,6,43
351,687,351→477→436→581→129→997→443→971→986→430→687,10,45
351,1079,351→477→436→581→129→997→313→215→1029→563807435→1088→1079,11,44
351,313,351→900→477→436→581→129→997→313,7,37
351,483,351→477→436→581→129→483,5,22
351,382,351→477→436→581→129→997→10703→982→1089→382,9,42
351,1089,351→477→436→581→129→10703→1089,6,27
351,971,351→900→477→436→581→129→997→10703→982→1089→382→466→443→986→971,14,56
351,986,351→477→436→581→129→997→443→484682516→986,8,33
1104,81,1104→549→81,2,12
1104,956,1104→549→81→672→956,4,18
1104,772,1104→549→81→672→956→940→1054→827→363→772,9,25
1104,810,1104→549→81→672→956→940→1054→827→363→772→810,10,26
1104,1108,1104→549→81→672→956→940→1054→827→363→772→810→1108,11,27
1104,814,1104→549→81→672→956→940→1054→827→363→772→810→814,11,31
1104,98,1104→549→81→672→956→98,5,33
262,262,262,0,1
262,685,262→685,1,1
262,1104,262→685→1104,2,2
262,81,262→629→1104→255→549→997→81,6,9
262,672,262→629→1104→255→549→997→81→672,7,13
262,956,262→629→1104→255→549→997→81→672→956,8,12
262,772,262→629→1104→255→549→997→81→672→956→940→1054→827→363→772,13,24
262,1108,262→629→1104→255→549→997→81→672→956→940→1054→827→363→772→810→1108,15,26
262,814,262→629→1104→255→549→997→81→672→956→940→1054→827→814,12,29
802,802,802,0,1
802,436,802→436,1,5
802,549,802→549,1,1
802,15,802→549→15,2,2
802,351,802→436→287→351,3,9
802,149,802→549→428→149,3,8
802,266,802→436→287→351→266,4,10
802,258,802→436→287→351→266→258,5,11
802,129,802→549→428→149→129,4,9
802,310,802→436→287→351→266→310,5,11
802,81,802→436→287→351→266→258→477→98→81,8,14
802,956,802→436→287→351→266→258→477→98→698→956,9,21
802,608,802→436→287→351→266→258→477→98→698→910→608,10,26
802,564,802→436→287→351→266→258→564,6,12
802,477,802→436→287→351→266→258→477,6,12
802,1125,802→436→287→351→266→258→477→98→698→910→608→1125,11,29
802,597,802→436→287→351→266→258→477→597,7,16
802,630,802→436→287→351→266→258→477→98→698→910→608→1125→630,12,27
802,910,802→436→287→351→266→258→477→98→698→956→680→608→910,12,24
802,698,802→436→287→351→266→258→477→698,7,16
802,1108,802→436→287→351→266→258→477→1108,7,14
802,1009,802→1009,1,6
802,581,802→436→581,2,16
802,1097,802→436→1097,2,19
351,262,351→803→802→549→262,4,5
351,1104,351→1009→802→549→1104,4,36
351,158,351→900→477→436→581→129→997→634→158,8,29
351,430,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430,15,26
351,542,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→542,16,27
351,434,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→687→610→434,18,33
351,851,351→900→477→436→581→129→997→313→851,8,34
351,17,351→900→477→436→581→129→997→313→531→10→17,10,29
351,795,351→900→477→436→581→129→549→997→313→634→158→795,11,43
351,42,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→542→0→834→842→851→10→17→26→42,24,52
351,478,351→900→477→436→581→129→549→997→10703→982→1089→382→466→484682516→430→687→610→774→906→279→940→510→478,22,54
351,590,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→687→590,17,54
351,26,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→542→0→834→842→851→10→17→26,23,51
351,9,351→900→477→436→581→129→549→997→10703→982→1089→382→466→484682516→484682512→940→510→478→9,18,48
351,510,351→900→477→436→581→129→549→997→10703→982→1089→382→466→484682516→430→687→590→940→510,18,61
351,774,351→900→477→436→581→129→549→997→10703→982→1089→382→466→443→484682516→430→687→610→434→965→774,20,45
351,706,351→900→477→436→581→129→549→997→313→1061→706,10,51
351,502,351→900→477→436→581→129→549→997→10703→982→1089→502,11,60
351,484682516,351→1009→802→549→64→997→603→466→484682516,8,56
351,810,351→900→477→436→581→129→549→997→10703→982→1089→382→466→484682516→940→819→810,16,68
351,772,351→477→81→672→956→940→819→810→772,8,97
351,814,351→477→266→258→672→956→698→814,7,11
351,956,351→477→266→258→98→81→672→956,7,17
351,783,351→477→266→258→98→81→672→956→484682512→1085→1021→783,11,13
351,255,351→262→549→255,3,35
351,767,351→477→266→258→98→81→672→956→484682512→1085→831→783→1021→767,13,14
351,440,351→477→266→258→98→81→672→956→484682512→488→440,10,14
351,1021,351→477→266→258→98→81→672→956→484682512→488→440→783→1021,12,15
351,526157192,351→477→266→258→98→81→672→956→484682512→1085→831→783→1021→767→526157192,14,16
351,698,351→477→266→258→98→672→956→680→608→1125→288→969→698,12,21
351,962,351→477→266→258→98→81→672→956→484682512→1085→831→783→1021→767→962,14,18
351,1096,351→803→1009→802→549→1096,5,5
351,575,351→803→802→549→262→1104→629→907→575,8,8
351,155,351→803→802→549→262→1104→629→907→575→155,9,11
351,301,351→908→287→1009→301,4,10
351,6,351→803→802→549→262→1009→6,6,19
351,603,351→803→1009→802→549→1096→1113→907→362→575→155→997→603,12,14
351,1113,351→803→802→549→262→1104→629→907→575→362→1113,10,14
351,463,351→803→1009→802→549→1096→1113→907→362→575→155→997→603→466→463,14,16
351,98,351→477→81→98,3,14
351,597,351→477→98→698→597,4,18
351,423,351→803→1009→802→549→1096→1113→907→362→575→155→997→603→466→463→423,15,16
351,56,351→477→266→56,3,13
351,609,351→477→1009→149→129→997→628→313→609,8,51
351,215,351→477→1009→149→129→997→628→706→215,8,42
351,1020,351→477→1009→149→129→997→628→706→215→549→1029→218→1020,12,46
351,1125,351→477→81→672→956→680→608→1125,7,74
351,1108,351→477→81→98→1108,4,14
351,940,351→477→81→672→956→940,5,67
351,250,351→477→250,2,8
351,827,351→477→81→672→98→956→940→1054→827,8,14
351,1054,351→477→81→672→98→956→940→1054,7,13
351,363,351→477→81→672→98→956→940→1081→1054→363,9,16
351,629,351→908→287→1009→436→428→549→64→575→155→629,10,24
351,718,351→908→287→1009→436→428→549→64→575→155→629→718,11,21
351,1022,351→908→287→1009→436→428→549→262→301→803→1022,10,26
351,10704,351→908→287→1009→436→428→549→64→575→155→997→603→466→463→423→382→10703→632→10704,18,26
