start_node,end_node,path,path_length,edges_used
382,1054,382→466→603→310→258→597→814→1054,7,19
382,266,382→466→603→310→258→266,5,10
382,351,382→466→603→310→436→351,5,27
382,88,382→466→603→310→436→576073704→88,6,24
382,507,382→466→603→258→159→507,5,24
382,523,382→466→603→258→523,4,49
382,614,382→466→603→310→436→576073704→88→173→614,8,45
382,693,382→466→603→310→436→576073704→88→693,7,34
382,173,382→466→603→310→436→576073704→88→173,7,33
382,515,382→466→603→258→266→72→523→515,7,40
382,977,382→466→579→1045→977,4,16
382,988,382→466→579→1045→977→988,5,25
382,427,382→466→579→1045→977→988→427,6,20
382,589508447,382→484682470→589508447,2,4
382,452,382→466→603→310→564→452,5,28
382,63,382→466→603→310→436→576073704→88→63,7,41
382,286,382→466→603→310→436→576073704→88→347→286,8,30
382,606826647,382→466→603→310→436→194→210→606826647,7,48
382,732,382→466→603→310→436→606826647→606826651→732,7,48
382,149,382→466→603→310→436→15→149,6,33
382,72,382→466→603→310→258→266→72,6,19
382,263,382→466→603→258→523→263,5,33
382,830,382→466→603→310→436→576073704→88→830,7,37
382,946,382→466→603→310→436→194→525→946,7,70
382,133,382→466→603→310→258→266→72→523→515→133,9,29
382,125,382→466→603→310→436→576073704→194→125,7,56
382,272,382→466→603→258→266→72→523→272,7,55
382,117,382→466→603→310→436→88→173→117,7,42
382,194,382→466→603→310→436→576073704→194,6,28
382,596,382→466→603→310→564→596,5,28
382,639,382→466→780→327→639,4,40
382,672,382→466→603→310→258→56→672,6,26
382,327,382→466→780→327,3,32
382,743,382→466→579→28→743,4,12
382,52,382→466→579→28→139→52,5,7
382,810,382→466→603→258→597→814→810,6,25
382,1045,382→466→579→1045,3,5
382,363,382→466→603→258→597→814→1054→827→363,8,25
382,312782648,382→466→971→484682520→312782652→312782648,5,6
382,15,382→466→603→310→436→15,5,27
382,312782644,382→466→443→743→28→139→312782644,6,25
382,289,382→466→579→1045→977→988→289,6,23
382,312782636,382→466→579→28→312782648→312782644→312782636,6,20
382,312782632,382→466→579→28→312782648→312782644→312782636→312782632,7,31
382,606826651,382→466→603→310→436→194→210→606826647→606826651,8,47
382,1023,382→466→579→1045→977→729→289→1023,7,18
382,50,382→466→603→310→436→15→149→50,7,65
382,847,382→466→971→484682520→484682524→1005→954→847,7,20
382,234,382→466→579→1045→977→988→289→234,7,15
382,1127,382→466→579→1045→977→988→427→1127,7,22
382,836,382→466→579→1045→977→988→427→836,7,21
382,181,382→466→603→310→436→181,5,41
382,108,382→466→603→108,3,15
382,729,382→466→579→1045→977→729,5,15
382,362,382→466→603→310→436→15→362,6,25
382,129,382→466→603→310→436→15→149→129,7,39
382,303,382→466→780→334→303,4,17
382,1004,382→466→603→310→436→576073704→614→1004,7,51
382,38,382→466→603→310→436→38,5,28
382,223,382→466→603→310→436→576073704→88→693→223,8,35
382,296,382→466→484682516→430→296,4,33
382,772,382→466→603→258→597→814→1054→827→772,8,38
382,588,382→466→986→542→588,4,41
382,786,382→466→579→484682520→786,4,11
382,802,382→466→603→310→436→802,5,14
382,1096,382→466→603→310→436→802→15→1113→1096,8,40
382,689,382→466→603→258→523→689,5,47
382,390,382→466→603→310→436→576073704→194→390,7,29
382,403,382→466→780→403,3,33
382,1,382→466→603→310→436→576073704→614→1,7,48
382,980,382→466→603→310→436→576073704→614→1→1004→980,9,58
382,606826655,382→466→603→310→436→194→210→606826647→606826651→606826655,9,56
382,347,382→466→603→310→436→576073704→88→347,7,34
382,54,382→466→603→310→436→194→525→54,7,30
382,1077,382→466→603→310→436→1077,5,51
382,525,382→466→603→310→436→194→525,6,49
382,526,382→466→579→28→743→727→664→543→526,8,16
382,707,382→466→603→310→258→597→814→1054→827→556→707,10,26
382,556,382→466→603→310→258→597→814→1054→827→556,9,23
382,543,382→466→579→28→743→727→664→543,7,15
382,262,382→466→603→310→436→262,5,24
382,298,382→466→603→258→564→596→298,6,45
382,414,382→466→603→310→436→606826647→525→753→690→946→414,10,73
382,609,382→466→603→310→436→576073704→88→830→946→609,9,76
382,634,382→466→603→310→436→15→149→50→634,8,67
382,10,382→466→603→310→436→15→362→149→50→158→634→17→10,12,39
382,690,382→466→603→310→436→606826647→525→753→690,8,48
382,210,382→466→603→310→436→576073704→614→1→210,8,49
382,664,382→466→579→28→743→727→664,6,19
382,98,382→466→603→310→258→98,5,16
382,84,382→466→603→258→597→814→1054→84,7,29
382,349,382→466→603→310→436→576073704→88→173→349,8,40
382,1109,382→466→603→310→258→266→351→1109,7,33
382,843,382→466→502→743→727→843,5,22
502,28,502→466→579→28,3,3
502,502,502,0,1
502,484682470,502→484682470,1,1
502,382,502→484682470→382,2,2
502,436,502→466→603→310→436,4,18
502,579,502→466→579,2,2
502,466,502→466,1,1
502,1004,502→466→603→310→436→614→1004,6,72
502,88,502→466→603→310→436→576073704→88,6,22
502,754,502→466→603→258→56→342→754,6,30
502,56,502→466→603→310→258→56,5,26
502,342,502→466→603→310→258→56→342,6,28
502,980,502→466→603→310→436→194→210→606826647→525→980,9,57
502,732,502→466→603→310→436→194→606826647→606826651→732,8,53
502,525,502→466→603→310→436→194→210→606826647→525,8,47
502,194,502→466→603→310→436→576073704→194,6,35
502,159,502→466→603→258→56→159,5,30
502,606826647,502→466→603→310→436→194→210→606826647,7,55
502,606826651,502→466→603→310→436→194→210→606826647→606826651,8,57
502,946,502→466→603→310→436→194→606826647→525→946,8,68
502,689,502→466→603→258→523→689,5,52
502,606826655,502→466→603→310→436→194→210→606826647→606826651→606826655,9,58
502,753,502→466→603→310→436→194→210→606826647→753,8,56
502,403,502→466→603→310→436→576073704→194→403,7,62
502,589508447,502→589508447,1,8
502,390,502→466→603→310→436→576073704→194→390,7,43
502,125,502→466→603→310→436→576073704→194→125,7,61
502,743,502→743,1,2
502,727,502→743→727,2,9
502,843,502→743→727→843,3,4
502,1084,502→1084,1,1
502,377,502→743→727→377,3,16
502,484682508,502→1037→484682508,2,6
502,603,502→466→603,2,13
502,902,502→743→727→664→843→484682508→902,6,14
502,687,502→1037→971→940→590→687,5,17
502,590,502→1037→971→590,3,12
502,1037,502→1037,1,1
502,310,502→466→603→310,3,18
502,543,502→743→727→664→543,4,32
502,430,502→1037→971→590→687→430,5,14
502,610,502→743→727→843→1084→1037→484682508→274→610,8,18
502,442,502→1037→484682508→442,3,29
502,664,502→743→727→664,3,27
484682470,266,484682470→382→466→603→310→258→266,6,15
484682470,63,484682470→466→603→310→436→576073704→88→63,7,43
382,952,382→466→579→952,3,14
382,287,382→466→603→310→436→287,5,20
484682470,423,484682470→382→466→423,3,12
484682470,463,484682470→382→466→463,3,13
382,559,382→466→780→334→1105→559,5,21
382,1105,382→466→780→334→1105,4,19
382,673,382→466→603→310→436→194→210→525→673,8,41
382,10703,382→10703,1,1
382,914,382→466→603→258→523→914,5,44
502,564,502→466→603→310→564,4,18
843,843,843,0,23
843,579,843→727→743→28→579,4,12
843,1084,843→1084,1,9
843,526,843→727→664→543→526,4,23
843,543,843→727→664→543,3,21
843,603,843→727→743→28→466→603,5,22
843,727,843→727,1,16
843,664,843→727→664,2,20
843,502,843→1084→502,2,14
502,542,502→1037→971→590→687→430→542,6,15
502,750,502→443→971→1037→484682508→843→750,6,11
502,210,502→466→603→310→436→194→210,6,49
502,255,502→466→603→310→436→802→262→1104→255,8,67
502,64,502→466→603→310→436→428→15→1113→1096→255→64,10,55
843,743,843→727→743,2,11
843,382,843→727→743→28→579→466→382,6,14
843,484682470,843→664→727→743→28→466→502→484682470,7,26
843,672,843→664→727→743→28→579→466→672,7,22
843,466,843→727→743→28→579→466,5,18
843,581,843→727→743→28→579→466→603→310→581,8,23
843,310,843→727→743→28→579→466→603→310,7,29
843,258,843→727→743→28→579→466→603→310→258,8,34
843,436,843→727→743→502→466→603→310→436,7,23
843,1104,843→727→743→28→579→466→603→310→436→15→1096→1104,11,24
843,64,843→727→743→502→466→603→310→436→15→1096→1104→255→64,12,26
843,255,843→727→743→28→579→466→603→310→436→802→351→255,11,24
502,526,502→743→727→664→543→526,5,26
502,1096,502→466→603→310→436→802→15→1113→1096,8,71
502,15,502→466→603→310→436→802→15,6,47
502,1104,502→466→603→310→436→802→262→1104,7,70
502,139,502→466→579→28→139,4,14
502,258,502→466→603→310→258,4,17
502,780,502→466→579→966→311→334→780,6,21
